name,precision,recall,f1-score,support
sadness,0.581,0.505,0.540,333
joy,0.593,0.554,0.573,334
love,0.573,0.647,0.608,334
anger,0.673,0.730,0.700,333
fear,0.572,0.462,0.512,333
surprise,0.750,0.883,0.811,333
accuracy,0.630,0.630,0.630,0.630
macro avarage,0.624,0.630,0.624,2000
weighted avarage,0.624,0.630,0.624,2000
