name,precision,recall,f1-score,support
sadness,0.931,0.886,0.908,333
joy,0.880,0.853,0.866,334
love,0.914,0.856,0.884,334
anger,0.893,0.982,0.936,333
fear,0.919,0.886,0.902,333
surprise,0.889,0.958,0.922,333
accuracy,0.904,0.904,0.904,0.904
macro avarage,0.904,0.904,0.903,2000
weighted avarage,0.904,0.904,0.903,2000
