name,precision,recall,f1-score,support
sadness,0.581314879,0.504504505,0.540192926,333
joy,0.592948718,0.553892216,0.572755418,334
love,0.572944297,0.646706587,0.607594937,334
anger,0.673130194,0.72972973,0.700288184,333
fear,0.572490706,0.462462462,0.511627907,333
surprise,0.75,0.882882883,0.811034483,333
accuracy,0.63,0.63,0.63,0.63
macro avg,0.623804799,0.63002973,0.623915642,2000
weighted avg,0.623763941,0.63,0.623881902,2000
