name,precision,recall,f1-score,support
sadness,0.944,0.919,0.932,333
joy,0.940,0.841,0.888,334
love,0.851,0.907,0.878,334
anger,0.941,0.910,0.925,333
fear,0.937,0.934,0.935,333
surprise,0.894,0.985,0.937,333
accuracy,0.916,0.916,0.916,0.916
macro avarage,0.918,0.916,0.916,2000
weighted avarage,0.918,0.916,0.916,2000
