name,precision,recall,f1-score,support
sadness,0.916,0.886,0.901,333
joy,0.863,0.865,0.864,334
love,0.933,0.838,0.883,334
anger,0.874,0.976,0.922,333
fear,0.932,0.868,0.899,333
surprise,0.886,0.961,0.922,333
accuracy,0.899,0.899,0.899,0.899
macro avarage,0.901,0.899,0.899,2000
weighted avarage,0.901,0.899,0.898,2000
