name,precision,recall,f1-score,support
sadness,0.743,0.676,0.708,333
joy,0.733,0.707,0.720,334
love,0.563,0.575,0.569,334
anger,0.802,0.826,0.814,333
fear,0.648,0.604,0.625,333
surprise,0.829,0.949,0.885,333
accuracy,0.723,0.723,0.723,0.723
macro avarage,0.720,0.723,0.720,2000
weighted avarage,0.720,0.723,0.720,2000
