name,precision,recall,f1-score,support
sadness,0.895,0.823,0.858,333
joy,0.873,0.799,0.834,334
love,0.767,0.76,0.764,334
anger,0.877,0.94,0.907,333
fear,0.781,0.793,0.787,333
surprise,0.887,0.964,0.924,333
accuracy,0.847,0.847,0.847,0.85
macro average,0.847,0.847,0.846,2000
weighted average,0.847,0.847,0.846,2000
