name,precision,recall,f1-score,support
sadness,0.316,0.315,0.316,333
joy,0.380,0.341,0.360,334
love,0.400,0.383,0.391,334
anger,0.453,0.538,0.492,333
fear,0.340,0.294,0.316,333
surprise,0.573,0.628,0.599,333
accuracy,0.417,0.417,0.417,0.417
macro avarage,0.410,0.417,0.412,2000
weighted avarage,0.410,0.417,0.412,2000
