name,precision,recall,f1-score,support
sadness,0.951,0.940,0.946,333
joy,0.926,0.895,0.910,334
love,0.997,0.859,0.923,334
anger,0.930,0.997,0.962,333
fear,0.940,0.946,0.943,333
surprise,0.902,0.997,0.947,333
accuracy,0.939,0.939,0.939,0.939
macro avarage,0.941,0.939,0.939,2000
weighted avarage,0.941,0.939,0.939,2000
