name,precision,recall,f1-score,support
sadness,0.894,0.811,0.850,333
joy,0.873,0.802,0.836,334
love,0.748,0.763,0.756,334
anger,0.887,0.946,0.916,333
fear,0.783,0.793,0.788,333
surprise,0.891,0.958,0.923,333
accuracy,0.846,0.846,0.846,0.846
macro avarage,0.846,0.846,0.845,2000
weighted avarage,0.846,0.846,0.845,2000
