name,precision,recall,f1-score,support
sadness,0.966,0.949,0.958,333
joy,0.965,0.916,0.940,334
love,0.934,0.976,0.954,333
anger,0.965,0.922,0.943,333
fear,0.917,0.889,0.903,334
surprise,0.904,0.994,0.947,333
accuracy,0.941,0.941,0.941,0.941
macro avarage,0.942,0.941,0.941,2000
weighted avarage,0.942,0.941,0.941,2000
